Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Joc Pederson,OF,MLB,Los Angeles Dodgers,MLB-Active,2010-2014,LAN: 2010-11-352,L-L,4/21/92,23,,,,
Zach Lee,P,AAA,Los Angeles Dodgers,MLB-Active,2011-2014,LAN: 2010-1-28,R-R,9/13/91,23,null,null,0,0
Chris Reed,P,AAA,Los Angeles Dodgers,MLB-Active,2009-2014,LAN: 2011-1-16,L-L,5/20/90,25,null,null,0,0
Onelki Garcia,P,MLB,Chicago White Sox,MLB-Active,2012-2014,LAN: 2012-3-113,L-L,8/2/89,26,,,,
Paco Rodriguez,P,MLB,Los Angeles Dodgers,MLB-Active,2011-2014,LAN: 2012-2-82,L-L,4/16/91,24,9/9/12,21,1.12,0.9
Matt Magill,P,MLB,Cincinnati Reds,Minors (40),2008-2014,LAN: 2008-31-937,R-R,11/10/89,25,4/27/13,23,0.026,-0.8
Ross Stripling,P,AA,Los Angeles Dodgers,7-day DL,2009-2013,LAN: 2012-5-176,R-R,11/23/89,25,null,null,0,0
Zach Lee,P,AAA,Los Angeles Dodgers,MLB-Active,2011-2014,LAN: 2010-1-28,R-R,9/13/91,23,null,null,0,0
Allen Webster,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,LAN: 2008-18-547,R-R,2/10/90,25,4/21/13,23,0.109,0.2
Nathan Eovaldi,P,MLB,New York Yankees,MLB-Active,2008-2014,LAN: 2008-11-337,R-R,2/13/90,25,8/6/11,21,3.013,5.6
Alfredo Silverio,CF-LF,AAA,,Free Agent,2007-2014,Not drafted,R-R,5/6/87,28,null,null,0,0
Chris Reed,P,AAA,Los Angeles Dodgers,MLB-Active,2009-2014,LAN: 2011-1-16,L-L,5/20/90,25,null,null,0,0
Garrett Gould,P,AA,Chattanooga (AA) >> Los Angeles Dodgers,Minors,2009-2014,LAN: 2009-2-65,R-R,7/19/91,24,null,null,0,0
Chris Withrow,P,MLB,Los Angeles Dodgers,60-day DL,2007-2014,LAN: 2007-1-20,R-R,4/1/89,26,,,,
Josh Lindblom,P,MLB,,Free Agent,2006-2014,LAN: 2008-2-61,R-R,6/15/87,28,6/1/11,24,1.101,0
Joc Pederson,OF,MLB,Los Angeles Dodgers,MLB-Active,2010-2014,LAN: 2010-11-352,L-L,4/21/92,23,,,,
Tim Federowicz,C,MLB,San Diego Padres,MLB-Active,2006-2014,BOS: 2008-7-232,R-R,8/5/87,28,9/11/11,24,1.107,-0.4
Dee Gordon,SS,MLB,Miami Marlins,MLB-Active,2008-2014,LAN: 2008-4-127,L-R,4/22/88,27,6/6/11,23,2.154,2.2
Zach Lee,P,AAA,Los Angeles Dodgers,MLB-Active,2011-2014,LAN: 2010-1-28,R-R,9/13/91,23,null,null,0,0
Rubby De La Rosa,P,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,Not drafted,R-R,3/4/89,26,5/24/11,22,2.097,1.2
Chris Withrow,P,MLB,Los Angeles Dodgers,60-day DL,2007-2014,LAN: 2007-1-20,R-R,4/1/89,26,,,,
Allen Webster,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,LAN: 2008-18-547,R-R,2/10/90,25,,,,
Jerry Sands,OF,MLB,Cleveland Indians,Minors,2007-2014,LAN: 2008-25-757,R-R,9/28/87,27,4/18/11,24,1.042,0.6
Scott Elbert,P,MLB,San Diego Padres,Minors,2004-2014,LAN: 2004-1-17,L-L,8/13/85,30,8/29/08,23,4.046,0.3
Kenley Jansen,P,MLB,Los Angeles Dodgers,MLB-Active,2005-2014,Not drafted,B-R,9/30/87,27,7/24/10,23,4.073,8.3
Ethan Martin,P,MLB,Lehigh Valley (AAA) >> Philadelphia Phillies,Minors (40),2009-2014,LAN: 2008-1-15,R-R,6/6/89,26,8/2/13,24,0.128,-0.5
Trayvon Robinson,OF,MLB,San Diego Padres,Minors,2005-2014,LAN: 2005-10-316,R-R,9/1/87,28,8/5/11,24,0.127,-0.7
Dee Gordon,SS,MLB,Miami Marlins,MLB-Active,2008-2014,LAN: 2008-4-127,L-R,4/22/88,27,,,,
Chris Withrow,P,MLB,Los Angeles Dodgers,60-day DL,2007-2014,LAN: 2007-1-20,R-R,4/1/89,26,,,,
Aaron Miller,P,AA,Rancho Cucamonga (A+) >> Los Angeles Dodgers,Minors,2007-2014,LAN: 2009-1-36,L-L,9/18/87,27,null,null,0,0
Ethan Martin,P,MLB,Lehigh Valley (AAA) >> Philadelphia Phillies,Minors (40),2009-2014,LAN: 2008-1-15,R-R,6/6/89,26,,,,
Josh Lindblom,P,MLB,,Free Agent,2006-2014,LAN: 2008-2-61,R-R,6/15/87,28,,,,
Scott Elbert,P,MLB,San Diego Padres,Minors,2004-2014,LAN: 2004-1-17,L-L,8/13/85,30,,,,
Andrew Lambo,OF,MLB,Pittsburgh Pirates,MLB-Active,2007-2014,LAN: 2007-4-146,L-L,8/11/88,27,8/13/13,25,0.079,0
Ivan DeJesus,2B,MLB,Cincinnati Reds,Minors,2005-2014,LAN: 2005-2-51,R-R,5/1/87,28,4/1/11,24,0.147,-0.6
Trayvon Robinson,OF,MLB,San Diego Padres,Minors,2005-2014,LAN: 2005-10-316,R-R,9/1/87,28,,,,
Allen Webster,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,LAN: 2008-18-547,R-R,2/10/90,25,,,,
