Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Paul Phillips,Rays (AAA),26,10.2,10.97,0,13,0.84,29.60%,0.00%,29.60%,0.318,1.31,0.433,87.30%,1.69,2.04,-0.35,sa290213
Michael Gonzalez,Orioles (AAA),32,1.2,21.6,10.8,2,0,40.00%,20.00%,20.00%,0.375,3,0.75,60.00%,10.8,2.06,8.74,1794
Joe Beimel,Rockies (AAA),33,2.2,6.75,0,2,0,20.00%,0.00%,20.00%,0.2,0.75,0.25,100.00%,0,2.09,-2.09,979
Doug Fister,Mariners (AAA),26,4,6.75,0,3,0,20.00%,0.00%,20.00%,0.267,1,0.333,50.00%,4.5,2.09,2.41,9425
Joel Peralta,Nationals (AAA),34,33.1,10.26,1.89,5.43,0.27,29.20%,5.40%,23.90%,0.197,0.93,0.277,88.20%,1.08,2.09,-1.01,2332
Brett Cecil,Blue Jays (AAA),23,11,9,1.64,5.5,0,23.90%,4.40%,19.60%,0.296,1.36,0.394,73.30%,2.45,2.13,0.32,2660
Brian Gordon,Phillies (AAA),31,78,9.92,2.19,4.53,0.23,26.90%,5.90%,20.90%,0.243,1.18,0.335,66.50%,3.46,2.16,1.31,2374
Marcos Mateo,Cubs (AAA),26,12.2,10.66,2.84,3.75,0,27.30%,7.30%,20.00%,0.235,1.26,0.333,50.00%,4.97,2.17,2.81,6869
Wade Leblanc,Padres (AAA),25,10,13.5,0.9,15,0.9,33.30%,2.20%,31.10%,0.296,1.4,0.429,47.60%,7.2,2.19,5.01,5221
Pedro Strop,Rangers (AAA),25,42.1,12.12,2.98,4.07,0.21,33.00%,8.10%,24.90%,0.201,1.09,0.307,76.20%,1.91,2.2,-0.28,4070
Jonathan Albaladejo,Yankees (AAA),27,63.1,11.65,2.56,4.56,0.43,33.10%,7.30%,25.80%,0.167,0.88,0.245,89.20%,1.42,2.23,-0.81,3521
Brandon Beachy,Braves (AAA),23,45.2,9.46,1.18,8,0.39,25.70%,3.20%,22.50%,0.218,0.99,0.287,67.90%,2.17,2.25,-0.08,8851
Cliff Lee,Mariners (AAA),31,6,6,0,4,0,20.00%,0.00%,20.00%,0.15,0.5,0.188,100.00%,0,2.26,-2.26,1636
Brennan Garr,Rangers (AAA),26,3,6,0,2,0,18.20%,0.00%,18.20%,0.182,0.67,0.222,100.00%,0,2.26,-2.26,sa327068
Koji Uehara,Orioles (AAA),35,2,4.5,0,1,0,12.50%,0.00%,12.50%,0.25,1,0.286,100.00%,0,2.26,-2.26,9227
Tom Cochran,Reds (AAA),27,4,11.25,4.5,2.5,0,22.70%,9.10%,13.60%,0.4,2.5,0.533,70.00%,6.75,2.26,4.49,sa499795
Grant Duff,Yankees (AAA),27,6,9,3,3,0,21.40%,7.10%,14.30%,0.308,1.67,0.4,60.00%,6,2.26,3.74,sa288997
Justin James,Athletics (AAA),28,19.2,12.81,4.12,3.11,0,33.70%,10.80%,22.90%,0.192,1.17,0.311,87.50%,1.37,2.27,-0.89,6140
Brian Anderson,Royals (AAA),28,7,7.71,1.29,6,0,23.10%,3.90%,19.20%,0.16,0.71,0.211,60.00%,2.57,2.3,0.27,6144
Gil De La Vara,Tigers (AAA),25,23.2,9.51,1.14,8.33,0.38,22.90%,2.80%,20.20%,0.375,1.77,0.487,68.10%,4.94,2.33,2.61,sa288778
Santiago Casilla,Giants (AAA),29,4,15.75,4.5,3.5,0,41.20%,11.80%,29.40%,0.143,1,0.286,100.00%,0,2.34,-2.34,2873
Jordan Zimmermann,Nationals (AAA),24,17,6.35,1.59,4,0,20.00%,5.00%,15.00%,0.14,0.65,0.178,90.90%,0.53,2.38,-1.85,4505
Josh Lueke,Mariners (AAA),25,17.1,9.35,2.6,3.6,0,25.40%,7.00%,18.30%,0.197,1.04,0.271,72.20%,2.08,2.38,-0.3,5722
Bruce Chen,Royals (AAA),33,20.2,8.71,2.18,4,0,26.30%,6.60%,19.70%,0.183,0.87,0.255,83.30%,1.31,2.38,-1.07,769
Alexis Lara,Padres (AAA),23,1.2,5.4,0,1,0,20.00%,0.00%,20.00%,0,0,0,100.00%,0,2.39,-2.39,sa393401
Wade Korpi,Marlins (AAA),24,3.1,5.4,0,2,0,20.00%,0.00%,20.00%,0,0,0,100.00%,0,2.39,-2.39,sa455025
Andrew Cashner,Cubs (AAA),23,21,7.29,0.86,8.5,0,21.30%,2.50%,18.80%,0.221,0.9,0.283,85.00%,0.86,2.4,-1.54,8782
Willie Collazo,Blue Jays (AAA),30,7.2,7.04,1.17,6,0,17.10%,2.90%,14.30%,0.324,1.57,0.393,41.70%,4.7,2.41,2.28,3503
Brad Kilby,Athletics (AAA),27,13,12.46,4.15,3,0,28.60%,9.50%,19.10%,0.321,1.85,0.474,68.00%,5.54,2.43,3.1,9823
Jake Woods,Phillies (AAA),28,5,9,3.6,2.5,0,22.70%,9.10%,13.60%,0.3,1.6,0.4,75.00%,3.6,2.46,1.14,2196
Scott Olsen,Nationals (AAA),26,6.1,5.68,1.42,4,0,14.30%,3.60%,10.70%,0.296,1.42,0.348,55.60%,5.68,2.47,3.21,4529
Robbie Weinhardt,Tigers (AAA),24,34.1,6.55,1.83,3.57,0,19.10%,5.30%,13.70%,0.211,0.96,0.265,79.40%,1.57,2.5,-0.93,8479
Mike Minor,Braves (AAA),22,33.1,9.99,3.24,3.08,0.27,29.10%,9.50%,19.70%,0.165,0.93,0.234,81.10%,1.89,2.51,-0.62,10021
Nelson Figueroa,Phillies (AAA),36,19,8.53,1.42,6,0.47,25.70%,4.30%,21.40%,0.149,0.68,0.188,94.80%,0.95,2.52,-1.57,683
Mike Dunn,Braves (AAA),25,47.1,12.17,4.75,2.56,0.19,32.00%,12.50%,19.50%,0.179,1.18,0.278,81.30%,1.52,2.54,-1.02,9948
Matt Reynolds,Rockies (AAA),25,55,10.96,2.62,4.19,0.33,29.50%,7.10%,22.50%,0.233,1.18,0.333,76.00%,2.62,2.55,0.07,8887
Wil Ledezma,Pirates (AAA),29,38.1,11.74,4.46,2.63,0.23,33.80%,12.80%,21.00%,0.156,1.02,0.247,88.10%,0.94,2.55,-1.62,1669
Boone Logan,Yankees (AAA),25,21.1,9.7,1.69,5.75,0.42,26.70%,4.70%,22.10%,0.225,1.03,0.304,84.10%,2.11,2.56,-0.45,5525
Henry Rodriguez,Athletics (AAA),23,21.1,13.08,3.8,3.44,0.42,36.10%,10.50%,25.60%,0.13,0.89,0.2,62.50%,1.69,2.56,-0.87,6371
Frank Herrmann,Indians (AAA),26,28.2,6.91,2.51,2.75,0,21.00%,7.60%,13.30%,0.155,0.8,0.2,95.70%,0.31,2.56,-2.25,7960
Roy Merritt,Mets (AAA),24,4.1,6.23,2.08,3,0,12.50%,4.20%,8.30%,0.391,2.31,0.45,20.00%,14.54,2.57,11.97,sa392227
Rich Thompson,Angels (AAA),25,29.2,9.1,3.03,3,0,27.50%,9.20%,18.40%,0.172,0.91,0.246,92.60%,0.61,2.58,-1.97,6422
Mark Prior,Rangers (AAA),29,1,18,9,2,0,33.30%,16.70%,16.70%,0.4,3,0.667,100.00%,0,2.59,-2.59,301
Jeff Francis,Rockies (AAA),29,3,9,3,3,0,30.00%,10.00%,20.00%,0.111,0.67,0.167,100.00%,0,2.59,-2.59,4684
Cristhian Martinez,Braves (AAA),28,52.2,8.37,1.37,6.13,0.51,23.40%,3.80%,19.60%,0.224,1.01,0.282,63.50%,3.08,2.59,0.48,5337
Logan Ondrusek,Reds (AAA),25,19.2,6.41,1.37,4.67,0,17.70%,3.80%,13.90%,0.284,1.22,0.35,65.40%,4.12,2.6,1.52,3677
Russ Springer,Reds (AAA),41,6.1,7.11,2.84,2.5,0,22.70%,9.10%,13.60%,0.1,0.63,0.133,100.00%,0,2.63,-2.63,1652
Homer Bailey,Reds (AAA),24,19,7.11,2.37,3,0,20.30%,6.80%,13.50%,0.221,1.05,0.283,76.20%,2.37,2.63,-0.26,8362
D.J. Mitchell,Yankees (AAA),23,17.2,8.15,3.57,2.29,0,20.80%,9.10%,11.70%,0.271,1.47,0.352,73.10%,3.57,2.64,0.93,5354
Tyler Robertson,Twins (AAA),22,5,10.8,3.6,3,0,24.00%,8.00%,16.00%,0.273,1.6,0.375,66.70%,5.4,2.66,2.74,3223
Brett Anderson,Athletics (AAA),22,13.1,8.1,2.03,4,0,19.70%,4.90%,14.80%,0.333,1.65,0.422,73.90%,4.05,2.69,1.36,8223
Fernando Salas,Cardinals (AAA),25,35.2,11.1,2.27,4.89,0.5,32.10%,6.60%,25.60%,0.205,0.98,0.296,63.30%,3.79,2.69,1.09,4971
Francisco Rodriguez,Angels (AAA),27,22.1,7.66,2.42,3.17,0,21.10%,6.70%,14.40%,0.226,1.12,0.292,64.00%,3.63,2.69,0.93,6688
Bobby Cramer,Athletics (AAA),30,41.2,7.56,2.38,3.18,0,20.10%,6.30%,13.80%,0.252,1.25,0.32,80.80%,1.94,2.7,-0.76,2744
Tim Collins,Royals (AAA),20,20.1,9.3,3.54,2.63,0,26.60%,10.10%,16.50%,0.127,0.84,0.18,82.40%,1.33,2.7,-1.38,3164
Ryan Webb,Padres (AAA),24,20.2,10.02,2.18,4.6,0.44,29.90%,6.50%,23.40%,0.167,0.82,0.229,96.20%,0.87,2.72,-1.85,7474
Shawn Kelley,Mariners (AAA),26,3.2,14.73,7.36,2,0,40.00%,20.00%,20.00%,0.083,1.09,0.167,50.00%,4.91,2.77,2.14,7773
Sean Gallagher,Padres (AAA),24,11,9.82,3.27,3,0,23.10%,7.70%,15.40%,0.298,1.64,0.4,68.40%,4.91,2.77,2.14,8261
Scott Lewis,Indians (AAA),26,17,9.53,2.12,4.5,0.53,26.50%,5.90%,20.60%,0.191,0.94,0.25,70.50%,2.12,2.79,-0.67,7322
Wilton Lopez,Astros (AAA),26,5,3.6,0,2,0,9.10%,0.00%,9.10%,0.364,1.6,0.4,62.50%,5.4,2.79,2.61,4227
Jeremy Hellickson,Rays (AAA),23,117.2,9.41,2.68,3.51,0.38,25.50%,7.30%,18.20%,0.234,1.17,0.313,79.70%,2.45,2.79,-0.34,4371
Eddie Mckiernan,Angels (AAA),21,1.1,13.5,6.75,2,0,25.00%,12.50%,12.50%,0.429,3,0.6,25.00%,20.25,2.84,17.41,sa390207
Jeremy Horst,Reds (AAA),24,14.1,7.53,3.14,2.4,0,18.80%,7.80%,10.90%,0.293,1.53,0.37,78.30%,2.51,2.84,-0.33,596
Joe Smith,Indians (AAA),26,24,7.5,3.75,2,0,20.40%,10.20%,10.20%,0.216,1.21,0.279,69.00%,2.63,2.84,-0.22,3281
Josh Wilkie,Nationals (AAA),25,69.2,8.01,2.84,2.82,0.26,22.20%,7.90%,14.30%,0.224,1.13,0.288,75.50%,2.45,2.89,-0.43,sa329014
Chad Cordero,- - -,28,35.2,9.08,2.27,4,0.5,24.30%,6.10%,18.20%,0.245,1.21,0.317,69.70%,3.03,2.91,0.12,1816
Chris Capuano,Brewers (AAA),31,25,5.76,1.44,4,0,15.70%,3.90%,11.80%,0.217,1,0.259,76.90%,1.8,2.91,-1.11,1701
Chris Resop,Braves (AAA),27,82,9.99,3.51,2.84,0.44,28.50%,10.00%,18.50%,0.186,1.04,0.258,82.30%,2.09,2.92,-0.83,3799
Brian Moehler,Astros (AAA),38,3,3,0,1,0,9.10%,0.00%,9.10%,0.091,0.33,0.1,100.00%,0,2.92,-2.92,480
Daniel Herrera,Reds (AAA),25,37.2,8.12,1.19,6.8,0.48,22.70%,3.30%,19.30%,0.221,0.96,0.279,60.20%,4.3,2.94,1.36,4552
Mike Zagurski,Phillies (AAA),27,52.1,12.21,4.64,2.63,0.52,31.10%,11.80%,19.30%,0.221,1.36,0.328,68.30%,3.27,2.95,0.31,9683
Brian Sweeney,Mariners (AAA),36,28.2,10.05,2.51,4,0.31,27.80%,7.00%,20.90%,0.192,0.98,0.268,67.60%,2.51,2.96,-0.45,1801
Zach Braddock,Brewers (AAA),22,16,15.75,5.06,3.11,0.56,40.60%,13.00%,27.50%,0.172,1.19,0.31,66.30%,4.5,2.96,1.54,4553
Yunesky Maya,Nationals (AAA),28,10.1,7.84,4.35,1.8,0,20.50%,11.40%,9.10%,0.205,1.26,0.267,84.60%,0.87,2.97,-2.1,11420
David Phelps,Yankees (AAA),23,70.1,7.29,1.66,4.38,0.51,19.20%,4.40%,14.80%,0.269,1.27,0.324,69.90%,3.07,2.97,0.1,6316
Tim Redding,- - -,32,109,6.85,1.82,3.77,0.33,18.70%,5.00%,13.80%,0.244,1.14,0.296,75.00%,2.89,2.98,-0.09,573
Drew Storen,Nationals (AAA),22,7.1,4.91,2.45,2,0,13.80%,6.90%,6.90%,0.259,1.23,0.304,88.90%,1.23,2.99,-1.76,6983
Garrett Mock,Nationals (AAA),27,11,4.91,2.45,2,0,13.00%,6.50%,6.50%,0.256,1.27,0.297,64.30%,4.09,2.99,1.1,7335
Mike O'Connor,Mets (AAA),29,70.2,8.92,2.17,4.12,0.64,24.40%,5.90%,18.50%,0.243,1.16,0.311,76.60%,2.67,3,-0.33,6457
Daniel Schlereth,Tigers (AAA),24,49.1,10.95,6.2,1.76,0,27.30%,15.50%,11.80%,0.217,1.5,0.323,77.60%,2.37,3.02,-0.64,8739
Clay Rapada,Rangers (AAA),29,59.1,9.25,3.19,2.9,0.15,26.40%,9.10%,17.30%,0.155,0.89,0.215,73.70%,1.82,3.02,-1.2,4831
Erick Threets,White Sox (AAA),28,21,4.29,2.14,2,0,12.80%,6.40%,6.40%,0.164,0.81,0.191,88.20%,0.86,3.02,-2.16,3158
Jensen Lewis,Indians (AAA),26,30.1,8.9,2.37,3.75,0.59,23.80%,6.40%,17.50%,0.248,1.22,0.318,82.40%,2.67,3.03,-0.36,3384
Louis Coleman,Royals (AAA),24,40.1,10.71,2.45,4.36,0.45,29.30%,6.70%,22.60%,0.21,1.04,0.296,81.50%,2.23,3.04,-0.81,9720
Justin Garcia,Rays (AAA),23,4.2,9.64,3.86,2.5,0,23.80%,9.50%,14.30%,0.222,1.29,0.308,57.10%,5.79,3.04,2.74,sa392164
Andy Mitchell,Orioles (AAA),31,32.2,4.68,1.93,2.43,0,9.90%,4.10%,5.90%,0.389,2.14,0.435,55.60%,6.89,3.04,3.84,sa201037
Ross Detwiler,Nationals (AAA),24,5,3.6,1.8,2,0,11.10%,5.60%,5.60%,0.294,1.2,0.333,50.00%,1.8,3.06,-1.26,2859
Fernando Cabrera,Red Sox (AAA),28,60.2,11.27,3.56,3.17,0.74,29.20%,9.20%,20.00%,0.272,1.45,0.383,73.20%,3.86,3.06,0.8,2105
Hyang-Nam Choi,Dodgers (AAA),39,24.2,6.2,2.55,2.43,0,14.80%,6.10%,8.70%,0.343,1.78,0.407,56.80%,5.84,3.06,2.78,sa323211
Jim Hoey,Orioles (AAA),27,21.1,13.5,7.17,1.88,0,34.00%,18.10%,16.00%,0.149,1.31,0.262,74.20%,3.38,3.07,0.3,6007
Joe Bisenius,Nationals (AAA),27,16.2,10.8,3.24,3.33,0.54,27.40%,8.20%,19.20%,0.215,1.2,0.296,77.70%,2.7,3.08,-0.38,7370
Craig Kimbrel,Braves (AAA),22,55.2,13.42,5.66,2.37,0.49,36.10%,15.20%,20.90%,0.147,1.13,0.238,86.00%,1.62,3.08,-1.46,6655
Rick Porcello,Tigers (AAA),21,28,6.11,3.21,1.9,0,17.10%,9.00%,8.10%,0.24,1.21,0.296,68.60%,3.21,3.08,0.13,2717
Marco Estrada,Brewers (AAA),26,40,7.43,2.48,3,0.23,20.90%,7.00%,13.90%,0.204,1.03,0.257,65.70%,3.15,3.09,0.06,1118
Carlos Zambrano,Cubs (AAA),29,4,9,2.25,4,0,20.00%,5.00%,15.00%,0.333,1.75,0.429,62.50%,6.75,3.09,3.66,305
James Adkins,Dodgers (AAA),24,4,9,4.5,2,0,14.80%,7.40%,7.40%,0.52,3.75,0.619,40.00%,18,3.09,14.91,sa389889
Eric Wordekemper,Yankees (AAA),26,31.2,8.24,2.56,3.22,0.57,22.30%,6.90%,15.40%,0.256,1.26,0.322,78.00%,3.13,3.1,0.03,sa294707
Alan Embree,- - -,40,15,9.6,6,1.6,0,23.20%,14.50%,8.70%,0.22,1.53,0.302,47.80%,6,3.13,2.87,1030
Randy Williams,White Sox (AAA),34,32,6.19,2.53,2.44,0.28,17.20%,7.00%,10.20%,0.219,1.09,0.26,74.40%,2.53,3.13,-0.6,2362
Sam Demel,Athletics (AAA),24,28.2,8.79,2.83,3.11,0.31,24.10%,7.80%,16.40%,0.208,1.08,0.273,85.00%,1.26,3.14,-1.88,868
Zach Simons,Tigers (AAA),25,16.2,9.72,3.78,2.57,0.54,25.00%,9.70%,15.30%,0.277,1.5,0.37,76.30%,3.78,3.14,0.64,sa291239
Mike Mcclendon,Brewers (AAA),25,55.1,7.16,2.28,3.14,0.16,19.60%,6.20%,13.30%,0.255,1.21,0.319,78.70%,2.44,3.16,-0.72,9587
Royce Ring,Yankees (AAA),29,42,8.36,2.36,3.55,0.43,22.30%,6.30%,16.00%,0.22,1.1,0.28,80.90%,1.93,3.16,-1.24,4350
Dennis Sarfate,Orioles (AAA),29,56,11.57,4.34,2.67,0.64,31.90%,12.00%,19.90%,0.162,1.05,0.231,77.60%,2.73,3.17,-0.44,2174
Edinson Volquez,Reds (AAA),26,23,8.22,3.13,2.63,0.39,23.90%,9.10%,14.80%,0.139,0.83,0.175,80.70%,1.96,3.17,-1.22,3990
Raul Valdes,Mets (AAA),32,36,9,2.25,4,0.75,24.30%,6.10%,18.20%,0.246,1.19,0.313,80.40%,3,3.18,-0.18,1953
Luke Hochevar,Royals (AAA),26,5,7.2,1.8,4,0,20.00%,5.00%,15.00%,0.167,0.8,0.214,80.00%,1.8,3.19,-1.39,6943
Zech Zinicola,Nationals (AAA),25,14.2,6.75,3.07,2.2,0,17.20%,7.80%,9.40%,0.263,1.36,0.326,68.20%,4.3,3.19,1.1,sa326785
Daisuke Matsuzaka,Red Sox (AAA),29,16.2,7.02,0.54,13,0.54,20.30%,1.60%,18.80%,0.183,0.72,0.217,80.90%,1.62,3.2,-1.58,7775
Steve Marek,Braves (AAA),26,50.1,10.01,3.4,2.95,0.72,27.50%,9.30%,18.10%,0.205,1.13,0.272,85.60%,1.43,3.2,-1.77,sa288780
Jason Motte,Cardinals (AAA),28,2.2,6.75,3.38,2,0,18.20%,9.10%,9.10%,0.2,1.13,0.25,66.70%,3.38,3.21,0.16,5861
Zach Putnam,Indians (AAA),22,24.1,8.88,2.59,3.43,0.74,24.20%,7.10%,17.20%,0.217,1.11,0.273,70.30%,3.33,3.22,0.11,9080
Joe Bateman,Rays (AAA),30,76,7.82,2.96,2.64,0.36,21.40%,8.10%,13.30%,0.204,1.08,0.257,85.80%,1.66,3.22,-1.56,sa201981
R.J. Swindle,Rays (AAA),26,55,9,1.64,5.5,0.98,25.60%,4.70%,20.90%,0.22,1,0.271,81.60%,2.45,3.22,-0.77,539
R.A. Dickey,Mets (AAA),35,60.2,5.49,1.19,4.63,0.45,15.20%,3.30%,11.90%,0.237,1.04,0.271,72.80%,2.23,3.23,-1,1245
Robert Manuel,Red Sox (AAA),26,64.1,6.72,1.82,3.69,0.56,19.40%,5.20%,14.10%,0.197,0.92,0.231,84.60%,1.82,3.23,-1.41,817
Vinnie Chulk,Pirates (AAA),31,32.2,10.47,3.31,3.17,0.83,25.90%,8.20%,17.70%,0.289,1.56,0.383,70.50%,4.96,3.23,1.73,1838
Josh Judy,Indians (AAA),24,46,10.57,2.74,3.86,0.98,27.80%,7.20%,20.60%,0.256,1.3,0.339,81.10%,2.54,3.24,-0.69,1975
Brendan Wise,Tigers (AAA),24,52,3.98,2.08,1.92,0,11.10%,5.80%,5.30%,0.275,1.25,0.312,79.40%,2.08,3.24,-1.16,sa291553
Ramon Ortiz,- - -,37,65,6.09,1.94,3.14,0.42,16.10%,5.10%,11.00%,0.257,1.23,0.3,60.40%,4.57,3.24,1.33,27
Zach Britton,Orioles (AAA),22,66.1,7.6,3.12,2.43,0.41,19.90%,8.20%,11.70%,0.245,1.3,0.303,67.60%,2.98,3.24,-0.26,3240
Jorge De La Rosa,Rockies (AAA),29,14.2,9.2,2.45,3.75,0.61,23.80%,6.40%,17.50%,0.288,1.43,0.372,56.10%,5.52,3.25,2.27,2047
Wes Littleton,Mariners (AAA),27,3,6,3,2,0,12.50%,6.30%,6.30%,0.333,2,0.385,66.70%,6,3.26,2.74,6236
Eric Gonzalez,Padres (AAA),23,3,6,3,2,0,15.40%,7.70%,7.70%,0.25,1.33,0.3,75.00%,3,3.26,-0.26,sa454861
Allen Marona,Padres (AAA),21,3,6,3,2,0,15.40%,7.70%,7.70%,0.333,1.67,0.4,80.00%,3,3.26,-0.26,sa549610
Kyle Gibson,Twins (AAA),22,15.2,5.17,2.87,1.8,0,14.10%,7.80%,6.30%,0.207,1.09,0.245,72.20%,1.72,3.26,-1.54,10123
Gil Velazquez,Red Sox (AAA),30,1,0,0,0,0,0.00%,0.00%,0.00%,0.4,2,0.4,50.00%,9,3.26,5.74,2070
Hector Noesi,Yankees (AAA),23,18.2,6.75,1.93,3.5,0.48,17.30%,4.90%,12.40%,0.303,1.45,0.361,67.70%,4.82,3.26,1.56,3292
Jim Johnson,Orioles (AAA),27,1,0,0,0,0,0.00%,0.00%,0.00%,0.25,1,0.25,100.00%,0,3.26,-3.26,3656
Danys Baez,Phillies (AAA),32,1,0,0,0,0,0.00%,0.00%,0.00%,0.4,2,0.4,50.00%,9,3.26,5.74,367
Erik Kratz,Pirates (AAA),30,1,0,0,0,0,0.00%,0.00%,0.00%,0,0,0,100.00%,0,3.26,-3.26,4403
Brian Buscher,Indians (AAA),29,1,0,0,0,0,0.00%,0.00%,0.00%,0,0,0,100.00%,0,3.26,-3.26,6234
Vance Worley,Phillies (AAA),22,45.1,7.15,1.99,3.6,0.6,19.30%,5.40%,13.90%,0.261,1.24,0.314,72.00%,3.77,3.26,0.51,6435
Matt Macri,Twins (AAA),28,1.2,0,0,0,0,0.00%,0.00%,0.00%,0.286,1.2,0.286,50.00%,5.4,3.26,2.14,7548
Sean Rooney,Nationals (AAA),24,1,0,0,0,0,0.00%,0.00%,0.00%,0.4,2,0.4,100.00%,0,3.26,-3.26,sa327039
