Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Daniel Webb,White Sox (AA),23,20.1,9.3,2.21,4.2,0,26.90%,6.40%,20.50%,0.153,0.79,0.216,76.50%,1.77,1.73,0.04,10558
Jack Leathersich,Mets (AA),22,29.1,16.88,4.91,3.44,0.31,44.40%,12.90%,31.50%,0.178,1.19,0.353,89.60%,1.53,1.76,-0.22,sa577738
Kevin Quackenbush,Padres (AA),24,31,13.35,2.9,4.6,0.29,38.00%,8.30%,29.80%,0.148,0.84,0.246,90.60%,0.29,1.77,-1.48,12360
Zach Thornton,Pirates (AA),25,36,11.25,1.75,6.43,0.25,32.40%,5.00%,27.30%,0.182,0.86,0.267,74.30%,2,1.77,0.23,sa549662
Zac Rosscup,Cubs (AA),25,43.1,13.71,3.95,3.47,0.42,37.30%,10.70%,26.60%,0.196,1.15,0.322,80.50%,2.49,1.78,0.71,9419
Pedro Viola,Athletics (AA),30,17.2,12.74,2.55,5,0.51,34.30%,6.90%,27.40%,0.221,1.13,0.333,48.40%,5.6,1.81,3.79,5971
Leonel Campos,Padres (AA),25,30.2,12.62,4.7,2.69,0,35.30%,13.10%,22.10%,0.132,0.98,0.222,83.30%,0.88,1.82,-0.94,12277
Hector Noesi,Mariners (AA),26,11,9.82,2.45,4,0,29.30%,7.30%,22.00%,0.135,0.73,0.2,100.00%,0,1.82,-1.82,3292
Leuris Gomez,Rockies (AA),26,42.1,11.91,3.4,3.5,0,32.20%,9.20%,23.00%,0.175,1.02,0.276,85.10%,1.28,1.83,-0.55,sa455628
Ross Wolf,Rangers (AA),30,1.2,5.4,0,1,0,12.50%,0.00%,12.50%,0.375,1.8,0.429,66.70%,5.4,1.86,3.54,4534
Burch Smith,Padres (AA),23,31.1,10.63,1.72,6.17,0.29,31.40%,5.10%,26.30%,0.155,0.73,0.222,72.00%,1.15,1.88,-0.73,12784
Chris Beck,White Sox (AA),22,28,7.07,0.96,7.33,0,20.00%,2.70%,17.30%,0.248,1.04,0.313,67.70%,2.89,1.88,1.02,sa503060
TJ House,Indians (AA),23,22.1,10.88,1.21,9,0.4,30.70%,3.40%,27.30%,0.235,1.03,0.333,69.40%,3.22,1.89,1.33,9121
J.C. Ramirez,Phillies (AA),24,7,10.29,2.57,4,0,30.80%,7.70%,23.10%,0.083,0.57,0.125,100.00%,0,1.9,-1.9,8302
Salvador Sanchez,White Sox (AA),27,42.2,9.7,2.11,4.6,0.21,26.90%,5.90%,21.10%,0.195,0.96,0.268,64.90%,2.74,1.9,0.84,sa291439
Shae Simmons,Braves (AA),22,11,13.09,5.73,2.29,0,36.40%,15.90%,20.50%,0.135,1.09,0.238,75.00%,2.45,1.91,0.54,14200
Taylor Thompson,White Sox (AA),26,50.1,8.23,2.32,3.54,0,23.00%,6.50%,16.50%,0.183,0.93,0.243,68.80%,2.15,1.92,0.23,10019
Bryan Price,Indians (AA),26,16,9.56,2.25,4.25,0,29.30%,6.90%,22.40%,0.111,0.63,0.162,90.00%,0.56,1.95,-1.39,8436
Michael Olmsted,Brewers (AA),26,7.1,9.82,3.68,2.67,0,28.60%,10.70%,17.90%,0.08,0.68,0.118,100.00%,0,1.96,-1.96,sa390636
Ramon Delgado,Cardinals (AA),26,24.2,7.66,1.46,5.25,0,21.70%,4.10%,17.50%,0.239,1.05,0.31,70.40%,2.92,1.96,0.96,sa390604
Albert Suarez,Rays (AA),23,6.1,8.53,2.84,3,0,19.40%,6.50%,12.90%,0.345,1.89,0.435,83.30%,1.42,1.97,-0.54,sa455792
Alex Wood,Braves (AA),22,57,9,2.37,3.8,0.16,25.10%,6.60%,18.50%,0.194,0.98,0.261,84.50%,1.26,1.98,-0.72,13781
Aaron Barrett,Nationals (AA),25,50.1,12.34,2.68,4.6,0.36,34.00%,7.40%,26.60%,0.213,1.09,0.325,78.50%,2.15,1.99,0.15,11243
Pedro Feliciano,Mets (AA),36,14.1,8.79,1.26,7,0,26.40%,3.80%,22.60%,0.18,0.77,0.25,83.30%,1.26,2,-0.74,1601
Rafael Montero,Mets (AA),22,66.2,9.72,1.35,7.2,0.27,27.60%,3.80%,23.80%,0.203,0.92,0.277,68.70%,2.43,2,0.43,12760
Michael Brady,Marlins (AA),26,53,9.34,1.53,6.11,0.34,25.70%,4.20%,21.50%,0.208,0.96,0.276,82.00%,1.53,2.01,-0.48,sa502167
Eddie Butler,Rockies (AA),22,27.2,8.13,1.95,4.17,0,24.80%,5.90%,18.80%,0.138,0.69,0.188,90.00%,0.65,2.01,-1.36,13453
Diego Moreno,Yankees (AA),26,9.1,11.57,1.93,6,0,33.30%,5.60%,27.80%,0.125,0.64,0.2,87.50%,0.96,2.04,-1.07,sa502563
Michael Blazek,Cardinals (AA),24,19.2,11.44,4.58,2.5,0,31.30%,12.50%,18.80%,0.157,1.07,0.244,81.00%,0.92,2.04,-1.12,9654
Logan Ondrusek,Reds (AA),28,2.1,3.86,0,1,0,12.50%,0.00%,12.50%,0.125,0.43,0.143,100.00%,0,2.06,-2.06,3677
Kevin Siegrist,Cardinals (AA),23,20,15.75,3.15,5,0.9,47.30%,9.50%,37.80%,0.121,0.75,0.207,83.30%,2.25,2.06,0.19,8180
Chris Rearick,Padres (AA),25,38,9.95,2.37,4.2,0.24,27.30%,6.50%,20.80%,0.217,1.08,0.3,76.40%,1.89,2.06,-0.16,sa550150
Jacob Brown,Athletics (AA),26,3.1,8.1,2.7,3,0,15.80%,5.30%,10.50%,0.556,3.3,0.667,63.60%,10.8,2.16,8.64,sa549729
Kyle Crockett,Indians (AA),21,10.1,7.84,1.74,4.5,0,23.70%,5.30%,18.40%,0.194,0.87,0.259,100.00%,0,2.16,-2.16,15033
Luke Jackson,Rangers (AA),21,27,10,4,2.5,0,29.10%,11.70%,17.50%,0.143,0.93,0.213,92.00%,0.67,2.17,-1.5,sa548163
J.R. Graham,Braves (AA),23,35.2,7.07,2.52,2.8,0,18.70%,6.70%,12.00%,0.279,1.37,0.348,67.40%,4.04,2.18,1.85,sa579841
Randy Henry,Rangers (AA),23,50.2,7.11,1.24,5.71,0.18,21.10%,3.70%,17.40%,0.176,0.77,0.22,80.30%,1.07,2.21,-1.14,sa501222
Collin Mchugh,Rockies (AA),26,13,8.31,0,12,0.69,26.70%,0.00%,26.70%,0.2,0.69,0.25,92.10%,1.38,2.21,-0.83,7531
Matt Daley,Yankees (AA),31,9,11,4,2.75,0,31.40%,11.40%,20.00%,0.161,1,0.25,88.90%,1,2.21,-1.21,7952
Michael Tonkin,Twins (AA),23,24.1,11.1,2.96,3.75,0,27.80%,7.40%,20.40%,0.217,1.19,0.313,68.80%,2.22,2.22,0,10315
Andrew Kittredge,Mariners (AA),23,21.2,11.22,4.98,2.25,0,23.10%,10.30%,12.80%,0.375,2.35,0.507,69.20%,6.23,2.22,4.01,sa577676
Matt Nevarez,Rays (AA),26,11.2,10.03,3.86,2.6,0,28.90%,11.10%,17.80%,0.231,1.2,0.346,80.00%,2.31,2.23,0.09,sa291749
John Lackey,Red Sox (AA),34,3.2,12.27,4.91,2.5,0,33.30%,13.30%,20.00%,0.231,1.36,0.375,100.00%,0,2.23,-2.23,1507
Trevor Bell,Reds (AA),26,31.1,10.63,2.3,4.63,0.57,31.40%,6.80%,24.60%,0.193,0.93,0.271,88.20%,1.72,2.24,-0.52,7074
Juan Jaime,Braves (AA),25,42,15,6,2.5,0.21,37.20%,14.90%,22.30%,0.194,1.38,0.345,71.40%,4.07,2.25,1.83,6127
Jose Flores,Indians (AA),24,66.1,11.8,3.66,3.22,0.14,31.00%,9.60%,21.40%,0.219,1.24,0.331,70.60%,2.71,2.25,0.46,sa503583
Matt Harrison,Rangers (AA),27,5,9,3.6,2.5,0,23.80%,9.50%,14.30%,0.263,1.4,0.357,85.70%,1.8,2.26,-0.46,5551
Spencer Patton,Royals (AA),25,18,13.5,3,4.5,0.5,39.10%,8.70%,30.40%,0.15,0.83,0.25,84.30%,1.5,2.28,-0.78,12361
Kyler Newby,Athletics (AA),28,32.1,8.63,1.95,4.43,0.28,23.90%,5.40%,18.50%,0.23,1.08,0.3,75.10%,1.95,2.28,-0.33,sa288761
Asher Wojciechowski,Astros (AA),24,26,9.35,2.42,3.86,0.35,27.60%,7.10%,20.40%,0.187,0.92,0.254,79.70%,2.08,2.29,-0.21,sa548167
David Herndon,Yankees (AA),27,9.2,13.03,3.72,3.5,0,34.20%,9.80%,24.40%,0.171,1.03,0.286,100.00%,0,2.29,-2.29,9264
Chris Jones,- - -,24,8.1,7.56,2.16,3.5,0,19.40%,5.60%,13.90%,0.294,1.44,0.37,66.70%,4.32,2.3,2.02,sa392067
Ross Stripling,Dodgers (AA),23,94,7.95,1.82,4.37,0.38,21.50%,4.90%,16.50%,0.247,1.17,0.31,73.80%,2.78,2.31,0.47,sa598259
Buddy Baumann,Royals (AA),25,4,13.5,4.5,3,0,40.00%,13.30%,26.70%,0.083,0.75,0.167,100.00%,0,2.31,-2.31,sa501507
Kevin Thomas,Cardinals (AA),26,59.2,11.31,2.56,4.41,0.6,31.40%,7.10%,24.30%,0.222,1.11,0.317,79.80%,2.56,2.32,0.25,sa455028
Jake Brigham,Rangers (AA),25,13.2,11.2,4.61,2.43,0,32.70%,13.50%,19.20%,0.114,0.88,0.185,100.00%,0,2.32,-2.32,sa326777
Jose Contreras,Pirates (AA),41,2,4.5,0,1,0,16.70%,0.00%,16.70%,0,0,0,100.00%,0,2.32,-2.32,1660
Franklin Morales,Red Sox (AA),27,8,7.88,2.25,3.5,0,20.60%,5.90%,14.70%,0.313,1.5,0.4,83.30%,1.13,2.32,-1.2,5088
Jonathan Pettibone,Phillies (AA),22,5,7.2,1.8,4,0,20.00%,5.00%,15.00%,0.263,1.2,0.333,50.00%,5.4,2.32,3.08,7106
Francisco Jimenez,Indians (AA),24,4,4.5,0,2,0,12.50%,0.00%,12.50%,0.188,0.75,0.214,66.70%,0,2.32,-2.32,sa503600
Nathan Striz,Red Sox (AA),24,3,9,3,3,0,25.00%,8.30%,16.70%,0.364,1.67,0.5,60.00%,6,2.32,3.68,sa390446
Deryk Hooker,Cardinals (AA),24,47,11.68,1.91,6.1,0.77,32.60%,5.40%,27.30%,0.217,1.02,0.309,69.80%,3.64,2.33,1.31,sa389288
Jim Walczak,Reds (AA),26,33,11.73,4.64,2.53,0.27,30.30%,12.00%,18.30%,0.234,1.39,0.35,70.20%,3.82,2.34,1.48,sa501724
Ryan Kussmaul,White Sox (AA),26,33.1,9.72,1.89,5.14,0.54,27.30%,5.30%,22.00%,0.195,0.93,0.259,72.90%,2.43,2.34,0.09,sa554616
Ryan O'Rourke,Twins (AA),25,17.1,9.87,3.63,2.71,0,26.40%,9.70%,16.70%,0.231,1.27,0.326,54.60%,4.67,2.34,2.33,sa549170
Kyle Hendricks,Cubs (AA),23,126.1,7.2,1.85,3.88,0.21,19.90%,5.10%,14.80%,0.224,1.05,0.279,77.70%,1.85,2.36,-0.51,12049
Grant Dayton,Marlins (AA),25,38,13.26,2.84,4.67,0.95,35.00%,7.50%,27.50%,0.225,1.18,0.333,89.10%,2.37,2.36,0.01,sa549077
Scott Gracey,Blue Jays (AA),26,27,10.33,3.67,2.82,0,27.20%,9.70%,17.50%,0.226,1.26,0.324,80.00%,2,2.36,-0.36,sa454894
Brian Flynn,Marlins (AA),23,23,9.78,1.17,8.33,0.78,28.70%,3.50%,25.30%,0.217,0.91,0.286,93.80%,1.57,2.39,-0.83,12027
Nathan Eovaldi,Marlins (AA),23,11.2,6.94,3.09,2.25,0,17.70%,7.80%,9.80%,0.277,1.46,0.342,58.80%,5.4,2.4,3,9132
Yordano Ventura,Royals (AA),22,57.2,11.55,3.12,3.7,0.47,32.20%,8.70%,23.50%,0.189,1.02,0.279,78.20%,2.34,2.41,-0.07,11855
Buddy Boshers,Angels (AA),25,28.2,10.99,4.08,2.69,0.31,29.90%,11.10%,18.80%,0.192,1.15,0.279,66.50%,3.14,2.43,0.71,8490
Tim Cooney,Cardinals (AA),22,118.1,9.51,1.37,6.94,0.61,25.20%,3.60%,21.60%,0.28,1.27,0.366,67.70%,3.8,2.43,1.37,sa621471
Aaron Thompson,Twins (AA),26,14.2,6.75,1.84,3.67,0,19.30%,5.30%,14.00%,0.204,0.95,0.256,92.90%,0.61,2.44,-1.82,999
Mike Morin,Angels (AA),22,31,9.58,1.45,6.6,0.58,26.80%,4.10%,22.80%,0.224,1,0.296,86.10%,2.03,2.44,-0.41,13442
Kevin Shackelford,Brewers (AA),24,29.1,7.67,2.15,3.57,0.31,21.00%,5.90%,15.10%,0.207,1.02,0.259,84.50%,0.92,2.47,-1.55,sa549496
Mauricio Robles,Phillies (AA),24,26,12.81,4.5,2.85,0.35,34.60%,12.20%,22.40%,0.202,1.23,0.321,78.40%,2.77,2.48,0.29,8895
Wei-Yin Chen,Orioles (AA),27,12,6,1.5,4,0,18.20%,4.60%,13.60%,0.214,0.92,0.265,63.60%,3,2.49,0.51,13071
Josh Tomlin,Indians (AA),28,6,6,0,4,0,18.20%,0.00%,18.20%,0.143,0.5,0.177,75.00%,1.5,2.49,-0.99,9388
Matt Gorgen,Diamondbacks (AA),26,26.1,9.91,2.39,4.14,0.68,26.90%,6.50%,20.40%,0.228,1.14,0.3,77.20%,2.73,2.49,0.24,sa454749
Forrest Snow,Mariners (AA),24,42,8.79,2.36,3.73,0.43,25.00%,6.70%,18.30%,0.179,0.9,0.232,69.90%,3,2.51,0.49,sa549462
Taylor Jordan,Nationals (AA),24,54,7.17,1.5,4.78,0,20.60%,4.30%,16.30%,0.19,0.85,0.243,88.20%,0.83,2.51,-1.68,10466
Jake Peavy,White Sox (AA),32,5,7.2,3.6,2,0,18.20%,9.10%,9.10%,0.25,1.4,0.313,85.70%,1.8,2.51,-0.71,1051
C.J. Riefenhauser,Rays (AA),23,53,8.15,1.87,4.36,0.51,24.40%,5.60%,18.80%,0.151,0.74,0.187,83.80%,0.51,2.52,-2.01,11193
Ian Thomas,Braves (AA),26,104.1,10.61,3.19,3.32,0.6,29.40%,8.80%,20.50%,0.189,1.04,0.259,75.90%,2.76,2.52,0.24,13881
Willy Paredes,Diamondbacks (AA),24,36,8.25,3,2.75,0.25,23.20%,8.50%,14.80%,0.171,0.94,0.221,89.30%,1,2.52,-1.52,sa597071
Chad Jenkins,Blue Jays (AA),25,15,5.4,1.2,4.5,0,15.00%,3.30%,11.70%,0.19,0.87,0.225,69.20%,1.2,2.52,-1.32,10326
Dakota Watts,Twins (AA),25,36.1,7.68,2.48,3.1,0,21.10%,6.80%,14.30%,0.228,1.13,0.295,88.10%,0.74,2.53,-1.78,sa501935
Jeffrey Johnson,Indians (AA),23,21.2,9.97,2.08,4.8,0.42,29.30%,6.10%,23.20%,0.158,0.78,0.216,72.30%,2.49,2.54,-0.05,sa598064
Scott Alexander,Royals (AA),23,33,10.91,4.91,2.22,0,26.70%,12.00%,14.70%,0.295,1.7,0.427,66.10%,5.18,2.54,2.64,sa526516
Jake Barrett,Diamondbacks (AA),21,24.2,8.03,1.09,7.33,0.73,22.90%,3.10%,19.80%,0.194,0.85,0.232,93.40%,0.36,2.55,-2.18,sa501237
Pat Egan,Braves (AA),28,55.2,6.79,2.43,2.8,0.16,18.70%,6.70%,12.00%,0.231,1.13,0.285,70.80%,2.1,2.55,-0.45,sa386802
Neil Holland,Nationals (AA),24,50.2,11.19,1.95,5.73,0.53,29.70%,5.20%,24.50%,0.245,1.16,0.346,80.30%,2.84,2.56,0.29,sa548553
Ty Kelley,Angels (AA),24,2,9,4.5,2,0,20.00%,10.00%,10.00%,0.333,2,0.429,50.00%,9,2.56,6.44,sa551371
Jeff Walters,Mets (AA),25,56,9.64,2.57,3.75,0.32,26.70%,7.10%,19.60%,0.221,1.11,0.301,83.10%,2.09,2.56,-0.47,sa328221
Kevin Gausman,Orioles (AA),22,46.1,9.52,0.97,9.8,0.58,25.70%,2.60%,23.00%,0.24,1.06,0.313,64.90%,3.11,2.57,0.54,14107
Jose De Paula,Padres (AA),25,74.2,6.87,1.33,5.18,0.36,18.10%,3.50%,14.60%,0.278,1.27,0.335,59.30%,3.86,2.57,1.28,sa456462
Bryan Mitchell,Yankees (AA),22,18.2,7.71,2.41,3.2,0,21.60%,6.80%,14.90%,0.206,1.02,0.269,75.00%,1.93,2.57,-0.65,11479
James Hoyt,Braves (AA),26,32.2,9.09,3.58,2.54,0.28,25.40%,10.00%,15.40%,0.147,0.92,0.195,74.30%,2.48,2.58,-0.1,sa659944
Luis Ayala,Braves (AA),35,3,6,0,2,0,16.70%,0.00%,16.70%,0.182,0.67,0.222,100.00%,0,2.58,-2.58,1650
Fabio Castillo,Giants (AA),24,32.1,12.25,4.73,2.59,0.28,31.00%,12.00%,19.00%,0.2,1.3,0.3,66.50%,3.34,2.58,0.76,sa329114
Cody Martin,Braves (AA),23,67,9.54,3.63,2.63,0.4,25.30%,9.60%,15.70%,0.248,1.34,0.333,78.10%,2.82,2.58,0.24,sa549474
Mike Bolsinger,Diamondbacks (AA),25,43,6.49,3.14,2.07,0,17.60%,8.50%,9.10%,0.219,1.16,0.271,72.60%,2.51,2.59,-0.08,11137
Jake Petricka,White Sox (AA),25,39.1,9.38,4.12,2.28,0.23,25.50%,11.20%,14.30%,0.254,1.37,0.35,82.10%,2.06,2.61,-0.55,10534
Frank Gailey,Athletics (AA),27,62,7.84,1.6,4.91,0.44,21.30%,4.30%,16.90%,0.242,1.11,0.301,76.70%,2.61,2.62,-0.01,sa389206
Paul Smyth,Athletics (AA),26,23,9.39,1.57,6,0.78,27.60%,4.60%,23.00%,0.169,0.78,0.211,65.80%,2.74,2.62,0.12,sa503009
Travis Miller,Cardinals (AA),23,2.1,7.71,3.86,2,0,20.00%,10.00%,10.00%,0.111,0.86,0.143,50.00%,0,2.63,-2.63,sa598293
Justin Fitzgerald,Giants (AA),27,33,11.18,2.18,5.13,0.55,29.30%,5.70%,23.60%,0.233,1.15,0.326,91.60%,1.09,2.63,-1.54,sa455160
Ian Krol,Nationals (AA),22,26,10.04,2.42,4.14,0.35,28.70%,6.90%,21.80%,0.152,0.81,0.21,88.00%,0.69,2.63,-1.94,10066
Michael Thomas,Dodgers (AA),24,47.1,9.7,3.99,2.43,0.38,25.60%,10.60%,15.10%,0.253,1.39,0.344,77.50%,3.23,2.64,0.59,sa599576
Edwin Escobar,Giants (AA),21,54,9,2.17,4.15,0.33,24.80%,6.00%,18.80%,0.217,1.06,0.286,73.00%,2.67,2.64,0.03,10337
Bryan Evans,Marlins (AA),26,78.2,9.27,0.8,11.57,1.03,25.50%,2.20%,23.30%,0.242,1.04,0.3,71.00%,3.32,2.65,0.67,sa455162
Oliver Drake,Orioles (AA),26,31,11.03,3.77,2.92,0.29,30.20%,10.30%,19.80%,0.17,1.03,0.247,79.10%,1.74,2.65,-0.91,sa462416
Erik Hamren,- - -,26,64.1,10.63,4.34,2.45,0.42,26.30%,10.70%,15.60%,0.245,1.46,0.337,77.10%,3.08,2.65,0.43,9133
Jesus Castillo,Athletics (AA),29,10,4.5,1.8,2.5,0,13.20%,5.30%,7.90%,0.194,0.9,0.226,100.00%,0,2.66,-2.66,sa287103
Angel Cuan,Mets (AA),24,6,7.5,1.5,5,0,20.00%,4.00%,16.00%,0.304,1.33,0.389,66.70%,4.5,2.66,1.84,sa502992
Adam Conley,Marlins (AA),23,138.2,8.37,2.4,3.49,0.45,22.20%,6.40%,15.80%,0.233,1.17,0.294,67.80%,3.25,2.66,0.58,sa597781
Boone Whiting,Cardinals (AA),23,30.2,9.98,2.05,4.86,0.59,26.40%,5.40%,20.90%,0.235,1.14,0.313,68.20%,2.93,2.67,0.27,sa549392
