Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Jack Mcgeary,Dodgers (A),25,5,16.2,3.6,4.5,0,37.50%,8.30%,29.20%,0.318,1.8,0.539,55.60%,7.2,1.08,6.12,sa390448
J.R. Bradley,Diamondbacks (A),22,11.2,16.2,3.09,5.25,0,42.90%,8.20%,34.70%,0.205,1.11,0.391,64.30%,0,1.17,-1.17,sa548235
Sammy Solis,Nationals (A),25,6,10.5,0,7,0,33.30%,0.00%,33.30%,0.191,0.67,0.286,100.00%,0,1.25,-1.25,sa392088
Justin Gallant,Twins (A),25,28,14.79,2.89,5.11,0,43.00%,8.40%,34.60%,0.124,0.75,0.235,86.40%,0.64,1.27,-0.63,sa549670
Nick Burdi,Twins (A),21,13,18,5.54,3.25,0,48.20%,14.80%,33.30%,0.174,1.23,0.4,62.50%,4.15,1.33,2.82,sa599297
Raul Rivera,Astros (A),23,4.1,12.46,2.08,6,0,27.30%,4.60%,22.70%,0.381,2.08,0.533,88.90%,2.08,1.41,0.67,sa503222
Ray Black,Giants (A),24,31.1,18.38,4.02,4.57,0.29,50.80%,11.10%,39.70%,0.146,0.96,0.333,55.60%,3.73,1.45,2.29,sa579473
Ian Krol,Tigers (A),23,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.48,-1.48,10066
Reynaldo Brugeura,Padres (A),22,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.48,-1.48,sa550586
Miguel Sulbaran,Twins (A),20,1,9,0,1,0,20.00%,0.00%,20.00%,0.2,1,0.25,0.00%,0,1.48,-1.48,sa596983
Jake Reed,Twins (A),21,25,11.16,1.08,10.33,0,34.40%,3.30%,31.10%,0.116,0.52,0.182,85.70%,0.36,1.48,-1.12,sa599532
Joshua Lucas,Cardinals (A),23,8.2,13.5,0,13,0,29.60%,0.00%,29.60%,0.342,1.62,0.5,58.80%,6.23,1.52,4.71,sa503340
Ryan Butler,Padres (A),22,21.2,12.46,2.49,5,0,34.90%,7.00%,27.90%,0.213,1.06,0.34,87.00%,0.83,1.55,-0.72,sa738201
Zach Godley,Cubs (A),24,15,15,4.2,3.57,0,41.00%,11.50%,29.50%,0.167,1.07,0.31,81.30%,1.8,1.55,0.25,sa503798
Ryan Tuntland,Giants (A),23,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.59,-1.59,sa738594
Austin Muehring,Reds (A),23,3.1,8.1,0,3,0,25.00%,0.00%,25.00%,0.25,0.9,0.333,100.00%,0,1.68,-1.68,sa658481
Dario Alvarez,Mets (A),25,61.1,13.94,2.05,6.79,0.29,39.10%,5.80%,33.30%,0.189,0.93,0.315,83.60%,1.32,1.7,-0.37,14239
A.J. Vanegas,Dodgers (A),21,8.1,7.56,0,7,0,25.90%,0.00%,25.90%,0.111,0.36,0.15,100.00%,0,1.8,-1.8,sa548360
Robert Coles,Mets (A),22,27.2,10.41,1.63,6.4,0,28.80%,4.50%,24.30%,0.255,1.16,0.365,81.30%,1.95,1.82,0.14,sa738402
Silvino Bracho,Diamondbacks (A),21,43.1,14.54,1.66,8.75,0.62,42.90%,4.90%,38.00%,0.163,0.76,0.275,81.20%,2.08,1.85,0.23,sa657737
Tanner Banks,White Sox (A),22,2.1,7.71,0,2,0,22.20%,0.00%,22.20%,0.222,0.86,0.286,100.00%,0,1.87,-1.87,sa829193
Akeel Morris,Mets (A),21,57,14.05,3.47,4.05,0.16,42.20%,10.40%,31.80%,0.101,0.72,0.184,91.10%,0.63,1.9,-1.27,sa548474
Chris Mazza,Twins (A),24,48.1,11.54,2.05,5.64,0.19,31.00%,5.50%,25.50%,0.25,1.2,0.368,74.70%,2.79,1.93,0.86,sa599371
Timothy Peterson,Mets (A),23,30.2,12.91,1.17,11,0.59,40.00%,3.60%,36.40%,0.151,0.65,0.233,69.80%,2.05,1.96,0.1,sa658510
Adam Plutko,Indians (A),22,52.2,11.28,2.05,5.5,0.17,30.30%,5.50%,24.80%,0.239,1.16,0.348,59.40%,3.93,1.97,1.96,sa548327
Brendan Mccurry,Athletics (A),22,26.1,11.62,1.03,11.33,0.34,37.00%,3.30%,33.70%,0.138,0.57,0.212,100.00%,0.34,1.97,-1.62,sa829486
Jason Leblebijian,Blue Jays (A),23,1.1,6.75,0,1,0,14.30%,0.00%,14.30%,0.286,1.5,0.333,0.00%,0,1.98,-1.98,sa658622
Andrew Moye,Brewers (A),26,5.1,6.75,0,4,0,20.00%,0.00%,20.00%,0.35,1.31,0.438,85.70%,1.69,1.98,-0.3,sa327157
Mat Batts,Twins (A),22,28.2,10.67,0.94,11.33,0.31,32.40%,2.90%,29.50%,0.208,0.84,0.303,72.00%,2.2,1.98,0.21,sa829200
Aroldis Chapman,Reds (A),26,2,13.5,4.5,3,0,50.00%,16.70%,33.30%,0,0.5,0,100.00%,0,1.98,-1.98,10233
Griffin Murphy,Blue Jays (A),23,36,11.75,2,5.88,0.25,32.20%,5.50%,26.70%,0.226,1.08,0.337,72.50%,2,1.98,0.02,sa548247
Brian Gilbert,Twins (A),21,10,10.8,1.8,6,0,30.00%,5.00%,25.00%,0.135,0.7,0.2,87.50%,0.9,1.98,-1.08,sa707798
Dustin Moseley,Marlins (A),32,5,7.2,0,4,0,19.10%,0.00%,19.10%,0.238,1,0.294,20.00%,3.6,1.99,1.61,7060
Jose Bautista,White Sox (A),22,19.2,11.9,2.75,4.33,0,32.10%,7.40%,24.70%,0.189,1.02,0.292,76.20%,0.92,2.01,-1.09,sa509071
Jacob Rhame,Dodgers (A),21,67.1,12.03,1.87,6.43,0.4,34.40%,5.30%,29.00%,0.194,0.92,0.29,79.60%,2,2.01,-0.01,sa737837
Bret Mitchell,Mets (A),25,28,10.93,2.57,4.25,0,27.90%,6.60%,21.30%,0.281,1.43,0.4,72.50%,2.57,2.01,0.56,sa549090
John Simms,Nationals (A),22,18.1,9.82,0.98,10,0,28.20%,2.80%,25.40%,0.194,0.82,0.277,88.20%,0.98,2.06,-1.08,sa550088
Jose Monegro,Rangers (A),24,31.2,9.38,1.14,8.25,0,24.40%,3.00%,21.50%,0.24,1.11,0.323,56.80%,3.98,2.07,1.91,sa503000
Layne Somsen,Reds (A),25,19.1,12.1,1.86,6.5,0.47,35.60%,5.50%,30.10%,0.174,0.83,0.262,89.00%,1.4,2.09,-0.69,sa738315
Nate Fury,Tigers (A),23,15.1,10.57,2.93,3.6,0,28.60%,7.90%,20.60%,0.224,1.17,0.325,88.90%,0.59,2.12,-1.53,sa829740
Chris Lamb,Athletics (A),24,26,11.77,2.42,4.86,0.35,33.70%,6.90%,26.70%,0.192,0.96,0.288,63.60%,2.77,2.18,0.59,sa598183
Ryan Longstreth,Tigers (A),24,13,6.92,0.69,10,0,18.20%,1.80%,16.40%,0.296,1.31,0.364,82.40%,2.08,2.18,-0.1,sa658975
Christopher Perry,Cardinals (A),23,49,14.69,2.76,5.33,0.73,41.20%,7.70%,33.50%,0.162,0.9,0.263,75.50%,2.2,2.2,0,sa658337
Kyle Barraclough,Cardinals (A),24,40,13.5,5.18,2.61,0,36.40%,13.90%,22.40%,0.148,1.1,0.256,79.60%,1.13,2.21,-1.08,sa599542
Justin Garcia,Indians (A),21,8.2,10.38,3.12,3.33,0,26.30%,7.90%,18.40%,0.257,1.38,0.36,58.30%,4.15,2.22,1.94,sa738904
Brian Miller,Rays (A),21,8,9,1.13,8,0,19.50%,2.40%,17.10%,0.385,2,0.484,64.70%,6.75,2.23,4.52,sa827168
Pete Kelich,Padres (A),23,24,9.75,1.13,8.67,0.38,22.80%,2.60%,20.20%,0.297,1.5,0.381,43.40%,4.88,2.23,2.64,sa738910
Steve Hathaway,Diamondbacks (A),23,14.2,11.05,3.68,3,0,28.10%,9.40%,18.80%,0.207,1.23,0.3,50.00%,3.68,2.26,1.42,sa621656
Michael Johnson,Dodgers (A),23,64,12.8,3.52,3.64,0.28,34.60%,9.50%,25.10%,0.194,1.11,0.306,79.50%,1.83,2.27,-0.44,sa709717
Jaime Schultz,Rays (A),23,37,14.11,3.41,4.14,0.49,39.20%,9.50%,29.70%,0.203,1.11,0.343,84.20%,1.95,2.27,-0.32,sa708975
Jaron Long,Yankees (A),22,49.1,8.39,1.46,5.75,0,22.80%,4.00%,18.80%,0.228,1.05,0.299,71.70%,1.64,2.27,-0.63,sa706969
Kendall Graveman,Blue Jays (A),23,26.1,8.54,2.05,4.17,0,26.60%,6.40%,20.20%,0.125,0.65,0.175,88.20%,0.34,2.27,-1.93,15514
Aaron Baker,Phillies (A),24,25.1,9.59,2.13,4.5,0,23.30%,5.20%,18.10%,0.275,1.42,0.366,62.20%,4.26,2.28,1.98,sa830858
Jose Arias,- - -,23,54,11.83,3,3.94,0.17,32.10%,8.10%,24.00%,0.185,1.02,0.281,72.40%,2,2.29,-0.29,sa548718
Christopher Thomas,Cardinals (A),26,17.2,13.25,2.55,5.2,0.51,36.10%,6.90%,29.20%,0.197,1.02,0.308,90.90%,1.02,2.3,-1.28,sa659320
Anderson Polanco,Indians (A),21,50.2,11.01,3.02,3.65,0.18,30.90%,8.50%,22.40%,0.174,0.97,0.256,69.30%,1.95,2.3,-0.35,sa596949
Zach Mcallister,Indians (A),26,4.1,8.31,2.08,4,0,18.20%,4.60%,13.60%,0.429,2.31,0.529,70.00%,6.23,2.33,3.9,2895
Jon Keller,Orioles (A),21,56.2,10.48,2.22,4.71,0.16,30.00%,6.40%,23.60%,0.191,0.94,0.277,82.10%,1.59,2.33,-0.75,sa549073
Joey Krehbiel,Angels (A),21,14,10.93,3.86,2.83,0,29.80%,10.50%,19.30%,0.157,1,0.235,71.40%,1.93,2.34,-0.41,sa598762
Jose Valdespina,Rangers (A),22,33,9.27,2.45,3.78,0,26.00%,6.90%,19.10%,0.213,1.06,0.296,71.40%,2.18,2.34,-0.16,sa597109
Manny Rodriguez,Nationals (A),25,7.1,7.36,1.23,6,0,22.20%,3.70%,18.50%,0.154,0.68,0.2,80.00%,1.23,2.36,-1.13,sa598049
Derrick Bleeker,Orioles (A),23,12.1,10.22,0,14,0.73,29.80%,0.00%,29.80%,0.17,0.65,0.219,60.60%,2.19,2.37,-0.18,sa602386
Trevor Frank,Indians (A),23,54.2,10.21,1.48,6.89,0.49,29.40%,4.30%,25.10%,0.198,0.9,0.27,64.70%,2.63,2.42,0.21,sa737842
Josh Davis,Cubs (A),23,15.1,6.46,1.17,5.5,0,15.70%,2.90%,12.90%,0.324,1.57,0.386,45.80%,4.11,2.44,1.67,sa741181
Jason Jester,Padres (A),23,26.1,9.23,2.73,3.38,0,24.30%,7.20%,17.10%,0.206,1.1,0.28,70.00%,1.71,2.46,-0.75,sa738439
Alex Blackford,Angels (A),23,53,11.38,2.72,4.19,0.34,30.70%,7.30%,23.40%,0.205,1.08,0.298,65.80%,2.89,2.47,0.42,sa579787
Jasvir Rakkar,Cubs (A),23,20.2,9.15,2.61,3.5,0,26.90%,7.70%,19.20%,0.141,0.77,0.2,88.20%,0.87,2.47,-1.6,sa658674
Steven Sabatino,Cardinals (A),24,41.2,10.15,2.38,4.27,0.22,28.30%,6.60%,21.70%,0.19,0.96,0.267,61.60%,1.94,2.48,-0.53,sa658788
Tyler Bremer,- - -,24,45,12.6,3.4,3.71,0.4,33.30%,9.00%,24.30%,0.193,1.11,0.293,80.90%,2.2,2.48,-0.28,sa550011
Jeffrey Zimmerman,Mariners (A),21,2,4.5,0,1,0,14.30%,0.00%,14.30%,0.143,0.5,0.167,100.00%,0,2.48,-2.48,sa738237
Pete Ruiz,Red Sox (A),26,19.1,12.57,4.66,2.7,0,33.80%,12.50%,21.30%,0.188,1.19,0.31,70.80%,3.26,2.5,0.76,sa455120
Stephen Gonsalves,Twins (A),19,36.2,10.8,2.7,4,0.25,29.30%,7.30%,22.00%,0.226,1.15,0.326,63.40%,3.19,2.5,0.69,sa737764
Chih-Wei Hu,Twins (A),20,55,7.85,2.13,3.69,0,22.20%,6.00%,16.20%,0.198,0.96,0.26,63.00%,2.29,2.5,-0.21,sa739600
Ben Heller,Indians (A),22,37,15.57,3.89,4,0.73,43.20%,10.80%,32.40%,0.146,0.95,0.254,82.30%,2.43,2.54,-0.11,sa738257
Bud Jeter,Diamondbacks (A),22,40.2,7.52,1.99,3.78,0,19.70%,5.20%,14.50%,0.282,1.35,0.357,69.60%,2.43,2.55,-0.12,sa738369
Michael Heesch,Cubs (A),24,45.1,11.71,3.97,2.95,0.2,31.40%,10.60%,20.70%,0.192,1.15,0.29,79.50%,2.18,2.56,-0.37,sa658112
Matt Milroy,Marlins (A),23,63.1,12.36,3.27,3.78,0.14,32.80%,8.70%,24.20%,0.189,1.06,0.297,68.40%,2.56,2.56,0,sa503072
Victor Araujo,Dodgers (A),24,68,9.79,1.99,4.93,0.26,28.70%,5.80%,22.90%,0.164,0.79,0.228,81.90%,1.32,2.57,-1.25,sa548099
Mike Minor,Braves (A),26,5,7.2,1.8,4,0,23.50%,5.90%,17.70%,0.063,0.4,0.083,100.00%,0,2.59,-2.59,10021
Tommy Hunter,Orioles (A),27,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,2.59,-2.59,1157
Matt Lujan,Giants (A),25,70,8.49,2.7,3.14,0,22.80%,7.20%,15.50%,0.249,1.26,0.33,77.30%,2.19,2.6,-0.41,sa526820
James Pugliese,Cubs (A),21,54.1,9.28,2.48,3.73,0.17,25.30%,6.80%,18.60%,0.191,0.99,0.259,76.90%,1.66,2.6,-0.94,sa598816
Joel Bender,Reds (A),22,63.2,9.9,2.83,3.5,0.14,26.00%,7.40%,18.60%,0.282,1.4,0.391,65.50%,4.66,2.62,2.04,sa549763
Eric Yardley,Padres (A),23,58,8.07,1.55,5.2,0.16,21.90%,4.20%,17.70%,0.215,1,0.277,62.70%,2.95,2.64,0.31,sa744476
Cesar Vargas,Yankees (A),22,29.2,9.4,2.12,4.43,0.3,25.20%,5.70%,19.50%,0.233,1.15,0.31,67.50%,2.73,2.64,0.09,sa507176
Joe Mantiply,Tigers (A),23,71.1,9.59,2.4,4,0.25,27.00%,6.70%,20.20%,0.219,1.07,0.302,78.70%,2.4,2.64,-0.25,sa503764
Chris Razo,Brewers (A),24,46,10.17,3.52,2.89,0,24.20%,8.40%,15.80%,0.29,1.61,0.397,61.50%,4.7,2.66,2.04,sa738333
Kyle Lloyd,Padres (A),23,119.2,11.66,2.56,4.56,0.6,30.60%,6.70%,23.90%,0.243,1.24,0.345,64.80%,3.61,2.67,0.94,sa738472
Austin Voth,Nationals (A),22,69.2,9.56,2.84,3.36,0.13,26.70%,7.90%,18.80%,0.202,1.05,0.281,67.90%,2.45,2.68,-0.23,sa621465
Jhonny Polanco,Cardinals (A),22,57.1,11.15,4.71,2.37,0,30.30%,12.80%,17.50%,0.173,1.13,0.267,77.60%,2.04,2.68,-0.64,sa504741
Connor Walsh,White Sox (A),21,6.2,8.1,2.7,3,0,19.40%,6.50%,12.90%,0.345,1.8,0.435,41.70%,9.45,2.69,6.76,sa829031
Daniel Gibson,Diamondbacks (A),22,36.1,11.15,3.47,3.21,0.25,30.00%,9.30%,20.70%,0.202,1.13,0.296,84.10%,1.98,2.69,-0.71,sa549733
James Dykstra,White Sox (A),23,99,7.45,0.91,8.2,0.27,20.40%,2.50%,17.90%,0.259,1.12,0.321,73.50%,2.64,2.69,-0.05,sa503397
Taylor Williams,Brewers (A),22,107,9.42,1.93,4.87,0.34,26.40%,5.40%,20.90%,0.197,0.94,0.264,72.00%,2.36,2.69,-0.34,sa737785
Troy Neiman,Rockies (A),23,79.1,10.1,2.38,4.24,0.23,28.40%,6.70%,21.70%,0.182,0.92,0.256,82.70%,1.59,2.69,-1.1,sa743088
Ryan Doran,Diamondbacks (A),23,33,7.36,1.09,6.75,0.27,21.10%,3.10%,18.00%,0.22,0.94,0.274,65.40%,3,2.7,0.3,sa739776
Luis Severino,Yankees (A),20,67.2,9.31,2,4.67,0.27,25.30%,5.40%,19.90%,0.239,1.14,0.321,72.50%,2.79,2.7,0.09,sa657781
Matt Davenport,Tigers (A),24,89.1,7.46,2.22,3.36,0,19.40%,5.80%,13.60%,0.275,1.34,0.348,71.80%,2.92,2.7,0.22,sa658987
Matt Campbell,Dodgers (A),22,36,11.25,2.5,4.5,0.5,31.90%,7.10%,24.80%,0.217,1.06,0.317,86.00%,2,2.71,-0.71,sa829183
Ralston Cash,Dodgers (A),22,50.2,11.01,3.91,2.82,0.18,31.00%,11.00%,20.00%,0.188,1.09,0.283,73.70%,2.84,2.72,0.13,sa548277
Alec Mills,Royals (A),22,38,7.82,2.37,3.3,0,23.60%,7.10%,16.40%,0.194,0.92,0.26,83.30%,1.18,2.72,-1.53,sa658528
Julio Felix,Tigers (A),22,77.1,8.26,1.75,4.73,0.23,22.80%,4.80%,18.00%,0.239,1.1,0.309,67.30%,3.38,2.72,0.65,sa658199
Colton Reavis,Rays (A),24,45,11,4.2,2.62,0.2,30.40%,11.60%,18.80%,0.181,1.11,0.269,67.90%,2.6,2.73,-0.13,sa738451
Dylan De Meyer,Mariners (A),21,1.1,13.5,6.75,2,0,25.00%,12.50%,12.50%,0.286,2.25,0.4,0.00%,6.75,2.73,4.02,sa659508
Ben Brewster,White Sox (A),22,15.2,9.77,2.87,3.4,0,27.00%,7.90%,19.10%,0.161,0.89,0.231,75.00%,1.72,2.76,-1.03,sa829181
Jacob Smith,Giants (A),24,58,11.95,4.66,2.57,0.16,30.60%,11.90%,18.70%,0.213,1.33,0.322,70.50%,2.79,2.76,0.03,sa602912
Greg Mahle,Angels (A),21,29.1,11.66,3.68,3.17,0.31,31.40%,9.90%,21.50%,0.187,1.09,0.279,67.50%,3.38,2.77,0.61,sa829310
Trent Szkutnik,Tigers (A),20,18.1,6.87,1.96,3.5,0,18.20%,5.20%,13.00%,0.278,1.31,0.345,56.00%,4.42,2.78,1.64,sa709586
Buck Farmer,Tigers (A),23,103.2,10.07,2.08,4.83,0.52,27.60%,5.70%,21.90%,0.232,1.11,0.314,73.90%,2.6,2.78,-0.18,14814
Will Morris,Phillies (A),21,46,9.98,1.17,8.5,0.39,26.30%,3.10%,23.20%,0.249,1.11,0.336,72.50%,3.52,2.78,0.74,sa738332
Matt Spann,Nationals (A),23,15,9,2.4,3.75,0,23.40%,6.30%,17.20%,0.224,1.13,0.302,89.50%,1.2,2.79,-1.59,sa549730
Keury Mella,Giants (A),20,66.1,8.55,1.76,4.85,0.14,22.00%,4.60%,17.50%,0.259,1.24,0.337,60.50%,3.93,2.79,1.15,sa657486
Sean Townsley,Marlins (A),23,96,8.16,1.69,4.83,0.19,22.10%,4.60%,17.50%,0.239,1.1,0.307,76.20%,2.25,2.83,-0.58,sa738352
Braden Shipley,Diamondbacks (A),22,45.2,8.08,2.17,3.73,0.2,21.70%,5.80%,15.90%,0.261,1.25,0.336,64.20%,3.74,2.83,0.92,sa737506
Abel De Los Santos,Rangers (A),21,10.2,10.13,0.84,12,0.84,29.30%,2.40%,26.80%,0.175,0.75,0.222,75.80%,1.69,2.84,-1.15,sa550603
Pat Light,Red Sox (A),23,17.1,9.87,2.08,4.75,0.52,27.10%,5.70%,21.40%,0.227,1.1,0.304,56.80%,4.15,2.84,1.32,sa502395
Matt Swynenberg,Nationals (A),25,4,6.75,2.25,3,0,21.40%,7.10%,14.30%,0.077,0.5,0.1,100.00%,0,2.84,-2.84,sa502344
Jonathan Padilla,Yankees (A),21,4,6.75,2.25,3,0,18.80%,6.30%,12.50%,0.267,1.25,0.333,60.00%,4.5,2.84,1.66,sa830225
Ben Carlson,Angels (A),23,65.2,8.5,2.33,3.65,0.27,21.90%,6.00%,15.90%,0.261,1.31,0.335,71.60%,2.6,2.86,-0.26,sa739009
Tyler Brunnemann,Astros (A),22,48.1,9.5,1.86,5.1,0.56,27.30%,5.40%,21.90%,0.188,0.89,0.246,80.40%,1.86,2.86,-1,sa738966
Tayron Guerrero,Padres (A),23,36,10.5,3,3.5,0.5,29.60%,8.50%,21.10%,0.169,0.94,0.233,86.50%,1,2.87,-1.87,sa551046
Ronnie Muck,Angels (A),22,21.1,10.55,3.38,3.13,0.42,25.00%,8.00%,17.00%,0.283,1.59,0.379,49.10%,4.64,2.88,1.77,sa829507
Pat Christensen,Astros (A),23,26.1,7.86,3.08,2.56,0,21.10%,8.30%,12.80%,0.242,1.25,0.316,76.50%,2.39,2.88,-0.48,sa708456
Andy Otamendi,Pirates (A),21,22.2,7.94,2.78,2.86,0,22.00%,7.70%,14.30%,0.193,1.01,0.254,87.50%,1.19,2.88,-1.69,sa596224
Gonzalo Sanudo,Astros (A),22,23.2,6.08,2.28,2.67,0,17.80%,6.70%,11.10%,0.179,0.89,0.221,85.70%,1.14,2.89,-1.75,sa601493
Carlos Perez,Braves (A),22,4.1,12.46,6.23,2,0,31.60%,15.80%,15.80%,0.125,1.15,0.2,40.00%,0,2.89,-2.89,sa503632
Albert Minnis,Astros (A),22,40.2,7.75,2.43,3.18,0.22,19.40%,6.10%,13.30%,0.29,1.48,0.361,66.60%,3.76,2.89,0.87,sa549930
Paul Fry,Mariners (A),21,66.1,10.45,4.48,2.33,0.14,27.60%,11.80%,15.80%,0.212,1.28,0.305,74.50%,2.71,2.9,-0.18,sa738159
Wei-Chung Wang,Brewers (A),22,13.2,6.59,2.63,2.5,0,17.90%,7.10%,10.70%,0.25,1.24,0.31,64.70%,3.29,2.9,0.39,14382
Sean Donatello,Marlins (A),23,38,12.08,1.42,8.5,0.95,31.10%,3.70%,27.40%,0.276,1.29,0.386,72.70%,3.79,2.9,0.89,sa599283
Brandon Brennan,White Sox (A),22,17.2,7.64,3.06,2.5,0,21.40%,8.60%,12.90%,0.172,0.96,0.225,70.60%,2.55,2.91,-0.36,sa550121
Reynaldo Lopez,Nationals (A),20,47.1,7.42,2.09,3.55,0.19,22.40%,6.30%,16.10%,0.166,0.8,0.211,84.70%,1.33,2.91,-1.58,sa696415
Seth Harvey,Brewers (A),26,14,12.21,3.86,3.17,0,32.20%,10.20%,22.00%,0.163,1,0.267,66.70%,3.21,2.91,0.3,sa503537
Alexander Muren,Twins (A),22,56,7.07,1.29,5.5,0.32,20.40%,3.70%,16.70%,0.228,0.98,0.281,70.10%,2.89,2.91,-0.02,sa658181
Zack Weiss,Reds (A),22,63.1,11.37,2.98,3.81,0.57,31.00%,8.10%,22.90%,0.214,1.12,0.307,81.90%,2.42,2.92,-0.5,sa548466
Alejandro Chacin,Reds (A),21,65.1,11.57,3.86,3,0.28,29.90%,10.00%,19.90%,0.211,1.22,0.313,76.00%,2.34,2.92,-0.58,sa546496
Kenny Mathews,Indians (A),20,17.2,7.13,3.06,2.33,0,20.90%,9.00%,11.90%,0.197,1.02,0.255,66.70%,2.04,2.92,-0.88,sa601581
Joe Gunkel,Red Sox (A),22,51.1,10.87,1.93,5.64,0.53,31.80%,5.60%,26.20%,0.146,0.72,0.204,72.20%,2.28,2.92,-0.64,sa738176
Mike Clevinger,Angels (A),23,24,10.13,1.88,5.4,0.75,29.40%,5.40%,23.90%,0.184,0.88,0.241,87.90%,1.88,2.94,-1.07,sa597956
Chris Cotton,Astros (A),23,55.2,7.92,1.78,4.45,0.32,20.90%,4.70%,16.20%,0.25,1.19,0.314,65.00%,3.4,2.95,0.45,sa737947
Ryne Stanek,Rays (A),22,44.2,9.27,2.62,3.54,0.4,24.70%,7.00%,17.70%,0.273,1.34,0.363,65.30%,3.63,2.95,0.68,sa548245
Mark Pope,Dodgers (A),24,63.2,7.35,2.12,3.47,0.28,20.80%,6.00%,14.80%,0.217,1.04,0.271,69.60%,2.26,2.97,-0.7,sa455411
Kevin Ziomek,Tigers (A),22,123,11.12,3.88,2.87,0.37,29.80%,10.40%,19.40%,0.197,1.15,0.286,73.10%,2.27,2.98,-0.71,sa549113
Brian Loconsole,Angels (A),23,69.2,6.59,2.07,3.19,0.13,18.50%,5.80%,12.70%,0.205,0.99,0.252,73.30%,1.68,2.98,-1.3,sa738549
Ryan Dalton,Angels (A),22,10,9,4.5,2,0,25.00%,12.50%,12.50%,0.171,1.1,0.24,90.90%,0.9,2.98,-2.08,sa621629
Brady Lail,Yankees (A),20,97,8.81,1.58,5.59,0.56,23.40%,4.20%,19.20%,0.273,1.27,0.348,67.50%,3.71,2.99,0.72,sa658405
Austin Kubitza,Tigers (A),22,131,9.62,2.95,3.26,0.34,26.00%,8.00%,18.00%,0.2,1.08,0.27,72.30%,2.34,2.99,-0.65,sa548355
Nick Mutz,Padres (A),24,51,9,2.65,3.4,0.35,22.80%,6.70%,16.10%,0.232,1.24,0.299,72.40%,2.29,2.99,-0.7,sa598245
Jose Jose,Diamondbacks (A),23,45.1,10.13,3.38,3,0.4,28.50%,9.50%,19.00%,0.174,0.99,0.241,69.40%,2.58,3,-0.42,sa506778
Brad Schreiber,Rays (A),23,68,10.85,3.18,3.42,0.26,27.70%,8.10%,19.60%,0.211,1.16,0.299,65.40%,3.57,3,0.57,sa503433
Cody Kendall,Rangers (A),24,44.1,8.53,3.05,2.8,0.2,23.20%,8.30%,14.90%,0.211,1.13,0.276,88.50%,1.02,3,-1.98,sa658127
Keegan Yuhl,Astros (A),22,14.2,9.82,2.45,4,0.61,27.60%,6.90%,20.70%,0.185,0.95,0.243,71.40%,3.07,3.01,0.06,sa829658
